UniqueID,First Name,Surname,Email,DOB,Phone,Town,County,Status
CUS2279,Annette,Wright,annETtE.WRIght261@yandex.com,+44 5868 008 548,4/7/1945,Newcastle upon Tyne,North Yorkshire,active
CUS1161,John,Welch,JoHN.wELch332@yahoo.co.uk,+44 0968 469 171,27/10/1955,Hereford,West Sussex,active
CUS5225,Cordell,Lyman,COrdeLl.lYman554@yandex.gov,+44 8207 704 961,8/6/1973,Cambridge,Cambridgeshire,active
CUS9656,Sean,Simens,SeaN.sIMeNS404@outlook.org,+44 3256 432 959,28/8/1910,Rutland,Leicestershire,archived
CUS9293,Sharon,Gessel,shaRON.gESseL351@gmail.com,+44 9211 517 539,24/5/1937,Glasgow,Leicestershire,active
CUS8043,Michael,Boykin,MichAel.bOYkIn713@gmail.co.uk,+44 3545 154 837,30/12/2007,City of London,East Ayrshire,suspended
CUS3641,Patricia,Poe,paTRICIA.Poe733@yandex.org,+44 7759 934 922,3/10/1987,Maidstone,Fife,suspended
CUS7244,Glenn,Mckinney,GlEnN.mCkINNEy294@outlook.co.uk,+44 2779 804 406,1/1/1988,Northampton,Cheshire,active
CUS9057,Elisha,Demery,Elisha.dEmeRY728@yandex.org,+44 2463 701 097,17/3/1944,Dumfries,Oxfordshire,active
CUS5728,Claudia,Wright,cLAUdIa.wrIGHt298@hotmail.net,+44 3144 817 486,20/3/1974,Greenock,Buckinghamshire,archived
CUS3114,Valerie,Koh,VALErie.kOH260@outlook.gov,+44 4002 447 399,2/3/2008,Durham,Surrey,suspended
CUS8953,Jaime,Marshall,jaIme.MARShall953@gmail.com,+44 2771 733 748,24/1/1916,Manchester,Tayside,active
CUS2526,Melissa,Bumgardner,mElisSa.bUmGARdner364@outlook.com,+44 8730 786 309,3/1/1964,Kirkcaldy,Falkirk,active
CUS6032,Ruth,Emery,RUtH.eMerY254@outlook.org,+44 4534 875 546,28/12/1948,Ipswich,Warwickshire,active
CUS1943,Josefina,Ryan,JosEFInA.rYAn549@hotmail.org,+44 2578 521 374,24/12/1972,Carlisle,Hampshire,suspended
CUS8654,Jerry,Locke,jErRY.lockE979@yandex.com,+44 1238 592 199,23/5/1992,Warwick,County Durham,suspended
CUS1408,Holley,Berry,HollEY.BerRY264@outlook.org,+44 2981 322 091,25/11/1941,Luton,Cumbria,active
CUS4995,Elizabeth,Toms,elIzaBEth.toMs612@yahoo.net,+44 3092 221 918,26/7/1900,Greenock,Surrey,archived
CUS8211,Scott,Brown,ScOTt.BROwN101@outlook.gov,+44 3122 515 192,14/10/1906,Newcastle upon Tyne,West Lothian,active
CUS6576,Vincenzo,Lubrano,vINCenZo.LUBRaNO774@yandex.net,+44 2042 399 402,19/2/1936,Norwich,North Lanarkshire,archived
CUS3799,Jonathan,Gaither,jonathAN.GAiTHER814@yandex.co.uk,+44 3539 198 873,9/6/1917,City of London,Derbyshire,suspended
CUS3122,Patricia,Graham,PaTricIa.GRAhAm423@gmail.gov,+44 1530 201 137,25/10/1929,Greenock,Cambridgeshire,active
CUS5377,Lora,Johnson,lOrA.Johnson399@gmail.co.uk,+44 5868 508 077,13/8/1916,Worcester,Merseyside,archived
CUS1928,Robert,Townsend,RobERt.tOWNseNd510@yandex.org,+44 1005 187 118,28/7/1964,Gloucester,Angus,active
CUS2924,Robert,Miles,ROberT.mileS950@yandex.co.uk,+44 9047 840 081,31/3/1909,Chelmsford,Angus,suspended
CUS9294,Jason,Kehew,JasoN.KeHEW527@outlook.net,+44 6317 180 431,28/11/1956,Oxford,West Midlands,active
CUS1188,Verna,Walley,VernA.waLlEy986@gmail.gov,+44 7041 177 937,3/4/1949,Greenock,Dumfries and Galloway,active
CUS3321,Harriet,Hooper,HarrIeT.HOOpER548@yahoo.org,+44 4944 550 590,15/11/1971,Chester,Cambridgeshire,active
CUS4290,Yuk,Veenstra,yuk.VeeNStra707@hotmail.net,+44 2845 652 229,3/8/1959,Ipswich,Middlesex,active
CUS7847,Rose,Wojcik,rOSE.WojcIk364@gmail.com,+44 1214 319 516,16/3/1917,Leicester,Leicestershire,suspended
CUS5184,Joseph,Baldwin,JosEpH.BALdwIN144@gmail.com,+44 2923 495 602,15/6/1920,Oxford,Leicestershire,active
