UniqueID,FirstName,Surname,Email,DOB,Phone,Town,County,Status,Full Name
CUS2279,Annette,Wright,annETtE.WRIght261@yandex.com,+44 5868 008 548,4/7/1945,Newcastle upon Tyne,North Yorkshire,active,Annette Wright
CUS1161,John,Welch,JoHN.wELch332@yahoo.co.uk,+44 0968 469 171,27/10/1955,Hereford,West Sussex,active,John Welch
CUS5225,Cordell,Lyman,COrdeLl.lYman554@yandex.gov,+44 8207 704 961,8/6/1973,Cambridge,Cambridgeshire,active,Cordell Lyman
CUS9293,Sharon,Gessel,shaRON.gESseL351@gmail.com,+44 9211 517 539,24/5/1937,Glasgow,Leicestershire,active,Sharon Gessel
CUS7244,Glenn,Mckinney,GlEnN.mCkINNEy294@outlook.co.uk,+44 2779 804 406,1/1/1988,Northampton,Cheshire,active,Glenn Mckinney
CUS9057,Elisha,Demery,Elisha.dEmeRY728@yandex.org,+44 2463 701 097,17/3/1944,Dumfries,Oxfordshire,active,Elisha Demery
CUS8953,Jaime,Marshall,jaIme.MARShall953@gmail.com,+44 2771 733 748,24/1/1916,Manchester,Tayside,active,Jaime Marshall
CUS2526,Melissa,Bumgardner,mElisSa.bUmGARdner364@outlook.com,+44 8730 786 309,3/1/1964,Kirkcaldy,Falkirk,active,Melissa Bumgardner
CUS6032,Ruth,Emery,RUtH.eMerY254@outlook.org,+44 4534 875 546,28/12/1948,Ipswich,Warwickshire,active,Ruth Emery
CUS1408,Holley,Berry,HollEY.BerRY264@outlook.org,+44 2981 322 091,25/11/1941,Luton,Cumbria,active,Holley Berry
CUS8211,Scott,Brown,ScOTt.BROwN101@outlook.gov,+44 3122 515 192,14/10/1906,Newcastle upon Tyne,West Lothian,active,Scott Brown
CUS3122,Patricia,Graham,PaTricIa.GRAhAm423@gmail.gov,+44 1530 201 137,25/10/1929,Greenock,Cambridgeshire,active,Patricia Graham
CUS1928,Robert,Townsend,RobERt.tOWNseNd510@yandex.org,+44 1005 187 118,28/7/1964,Gloucester,Angus,active,Robert Townsend
CUS9294,Jason,Kehew,JasoN.KeHEW527@outlook.net,+44 6317 180 431,28/11/1956,Oxford,West Midlands,active,Jason Kehew
CUS1188,Verna,Walley,VernA.waLlEy986@gmail.gov,+44 7041 177 937,3/4/1949,Greenock,Dumfries and Galloway,active,Verna Walley
CUS3321,Harriet,Hooper,HarrIeT.HOOpER548@yahoo.org,+44 4944 550 590,15/11/1971,Chester,Cambridgeshire,active,Harriet Hooper
CUS4290,Yuk,Veenstra,yuk.VeeNStra707@hotmail.net,+44 2845 652 229,3/8/1959,Ipswich,Middlesex,active,Yuk Veenstra
CUS5184,Joseph,Baldwin,JosEpH.BALdwIN144@gmail.com,+44 2923 495 602,15/6/1920,Oxford,Leicestershire,active,Joseph Baldwin
CUS3481,Sherman,Baltazar,SHeRmAn.baLtAZar614@yahoo.co.uk,+44 2871 257 309,25/8/1937,Aberdeen,Northamptonshire,active,Sherman Baltazar
CUS5811,Iliana,Gallardo,IliANA.GAllArdO636@yahoo.net,+44 6066 661 541,5/12/1986,Lancaster,Worcestershire,active,Iliana Gallardo
CUS0023,David,Milton,dAVId.MILTon423@outlook.co.uk,+44 1769 365 886,25/7/1939,Glasgow,Middlesex,active,David Milton
CUS1819,Mark,Simmon,MaRK.SIMmON742@gmail.co.uk,+44 6712 099 459,19/11/1983,Rutland,Devon,active,Mark Simmon
CUS4830,Martha,Powers,mARthA.PoWeRS756@yahoo.net,+44 0121 591 746,15/2/1913,Derby,Strathclyde,active,Martha Powers
CUS4122,Patricia,Lenz,PaTRIcIA.leNz122@gmail.org,+44 6715 083 682,23/10/1947,Glasgow,West Lothian,active,Patricia Lenz
CUS8175,Larry,Rodrigues,LArry.roDrigUes583@yandex.gov,+44 9399 892 577,4/8/1909,Kirkcaldy,North Lanarkshire,active,Larry Rodrigues
CUS5777,Kathy,Ybarra,KatHy.ybarRa994@yandex.net,+44 6739 372 854,7/2/1916,Durham,Cumbria,active,Kathy Ybarra
CUS9693,Kathy,Blum,kaTHY.blUm595@hotmail.org,+44 4898 213 424,20/9/2001,Brighton,Fife,active,Kathy Blum
CUS5271,Danielle,Harris,daNielLE.harRIS173@hotmail.co.uk,+44 2967 373 474,8/5/1936,Truro,West Lothian,active,Danielle Harris
CUS8243,Derek,Lemay,dERek.lemay780@hotmail.gov,+44 0249 045 278,28/10/1911,Southampton,Oxfordshire,active,Derek Lemay
